  sliding_eval [  7.6%] 73632/969088 windows running_bpb=1.284594
  sliding_eval [  7.8%] 75232/969088 windows running_bpb=1.284918
  sliding_eval [  7.9%] 76832/969088 windows running_bpb=1.284647
  sliding_eval [  8.1%] 78432/969088 windows running_bpb=1.285055
  sliding_eval [  8.3%] 80032/969088 windows running_bpb=1.285418
  sliding_eval [  8.4%] 81632/969088 windows running_bpb=1.285298
  sliding_eval [  8.6%] 83232/969088 windows running_bpb=1.286570
  sliding_eval [  8.8%] 84832/969088 windows running_bpb=1.288551
  sliding_eval [  8.9%] 86432/969088 windows running_bpb=1.287663
  sliding_eval [  9.1%] 88032/969088 windows running_bpb=1.288323
  sliding_eval [  9.2%] 89632/969088 windows running_bpb=1.288707
  sliding_eval [  9.4%] 91232/969088 windows running_bpb=1.288577
  sliding_eval [  9.6%] 92832/969088 windows running_bpb=1.288075
  sliding_eval [  9.7%] 94432/969088 windows running_bpb=1.288365
  sliding_eval [  9.9%] 96032/969088 windows running_bpb=1.287883
  sliding_eval [ 10.1%] 97632/969088 windows running_bpb=1.290774
  sliding_eval [ 10.2%] 99232/969088 windows running_bpb=1.290868
  sliding_eval [ 10.4%] 100832/969088 windows running_bpb=1.290867
  sliding_eval [ 10.6%] 102432/969088 windows running_bpb=1.290475
  sliding_eval [ 10.7%] 104032/969088 windows running_bpb=1.290025
  sliding_eval [ 10.9%] 105632/969088 windows running_bpb=1.289353
  sliding_eval [ 11.1%] 107232/969088 windows running_bpb=1.289379
  sliding_eval [ 11.2%] 108832/969088 windows running_bpb=1.289985
  sliding_eval [ 11.4%] 110432/969088 windows running_bpb=1.290109
  sliding_eval [ 11.6%] 112032/969088 windows running_bpb=1.290040
  sliding_eval [ 11.7%] 113632/969088 windows running_bpb=1.290529
  sliding_eval [ 11.9%] 115232/969088 windows running_bpb=1.290370
  sliding_eval [ 12.1%] 116832/969088 windows running_bpb=1.290034
  sliding_eval [ 12.2%] 118432/969088 windows running_bpb=1.290326
  sliding_eval [ 12.4%] 120032/969088 windows running_bpb=1.290460
  sliding_eval [ 12.6%] 121632/969088 windows running_bpb=1.290684
  sliding_eval [ 12.7%] 123232/969088 windows running_bpb=1.290679
  sliding_eval [ 12.9%] 124832/969088 windows running_bpb=1.290205
  sliding_eval [ 13.0%] 126432/969088 windows running_bpb=1.290112
  sliding_eval [ 13.2%] 128032/969088 windows running_bpb=1.290085
  sliding_eval [ 13.4%] 129632/969088 windows running_bpb=1.290231
  sliding_eval [ 13.5%] 131232/969088 windows running_bpb=1.290472
  sliding_eval [ 13.7%] 132832/969088 windows running_bpb=1.290020
  sliding_eval [ 13.9%] 134432/969088 windows running_bpb=1.289504
  sliding_eval [ 14.0%] 136032/969088 windows running_bpb=1.288249
  sliding_eval [ 14.2%] 137632/969088 windows running_bpb=1.288767
  sliding_eval [ 14.4%] 139232/969088 windows running_bpb=1.288601
  sliding_eval [ 14.5%] 140832/969088 windows running_bpb=1.289354
  sliding_eval [ 14.7%] 142432/969088 windows running_bpb=1.289751
  sliding_eval [ 14.9%] 144032/969088 windows running_bpb=1.290131
  sliding_eval [ 15.0%] 145632/969088 windows running_bpb=1.289995
  sliding_eval [ 15.2%] 147232/969088 windows running_bpb=1.289842
  sliding_eval [ 15.4%] 148832/969088 windows running_bpb=1.289584
  sliding_eval [ 15.5%] 150432/969088 windows running_bpb=1.289292
  sliding_eval [ 15.7%] 152032/969088 windows running_bpb=1.288990
  sliding_eval [ 15.9%] 153632/969088 windows running_bpb=1.289818
  sliding_eval [ 16.0%] 155232/969088 windows running_bpb=1.289780
  sliding_eval [ 16.2%] 156832/969088 windows running_bpb=1.290265
  sliding_eval [ 16.3%] 158432/969088 windows running_bpb=1.290093
  sliding_eval [ 16.5%] 160032/969088 windows running_bpb=1.290553
  sliding_eval [ 16.7%] 161632/969088 windows running_bpb=1.290675
  sliding_eval [ 16.8%] 163232/969088 windows running_bpb=1.290614
  sliding_eval [ 17.0%] 164832/969088 windows running_bpb=1.290557
  sliding_eval [ 17.2%] 166432/969088 windows running_bpb=1.290655
  sliding_eval [ 17.3%] 168032/969088 windows running_bpb=1.290126
  sliding_eval [ 17.5%] 169632/969088 windows running_bpb=1.290098
  sliding_eval [ 17.7%] 171232/969088 windows running_bpb=1.289812
  sliding_eval [ 17.8%] 172832/969088 windows running_bpb=1.289658
  sliding_eval [ 18.0%] 174432/969088 windows running_bpb=1.289660
  sliding_eval [ 18.2%] 176032/969088 windows running_bpb=1.289465
  sliding_eval [ 18.3%] 177632/969088 windows running_bpb=1.289701
  sliding_eval [ 18.5%] 179232/969088 windows running_bpb=1.290034
  sliding_eval [ 18.7%] 180832/969088 windows running_bpb=1.290455
  sliding_eval [ 18.8%] 182432/969088 windows running_bpb=1.290802
  sliding_eval [ 19.0%] 184032/969088 windows running_bpb=1.291375
  sliding_eval [ 19.2%] 185632/969088 windows running_bpb=1.291000
  sliding_eval [ 19.3%] 187232/969088 windows running_bpb=1.290954
  sliding_eval [ 19.5%] 188832/969088 windows running_bpb=1.291133
  sliding_eval [ 19.7%] 190432/969088 windows running_bpb=1.291008
  sliding_eval [ 19.8%] 192032/969088 windows running_bpb=1.291183
  sliding_eval [ 20.0%] 193632/969088 windows running_bpb=1.291246
  sliding_eval [ 20.1%] 195232/969088 windows running_bpb=1.290707
  sliding_eval [ 20.3%] 196832/969088 windows running_bpb=1.290503
  sliding_eval [ 20.5%] 198432/969088 windows running_bpb=1.290760
  sliding_eval [ 20.6%] 200032/969088 windows running_bpb=1.290950
  sliding_eval [ 20.8%] 201632/969088 windows running_bpb=1.290920
  sliding_eval [ 21.0%] 203232/969088 windows running_bpb=1.290814
  sliding_eval [ 21.1%] 204832/969088 windows running_bpb=1.290639
  sliding_eval [ 21.3%] 206432/969088 windows running_bpb=1.290371
  sliding_eval [ 21.5%] 208032/969088 windows running_bpb=1.289906
  sliding_eval [ 21.6%] 209632/969088 windows running_bpb=1.289712
  sliding_eval [ 21.8%] 211232/969088 windows running_bpb=1.289422
  sliding_eval [ 22.0%] 212832/969088 windows running_bpb=1.289839
  sliding_eval [ 22.1%] 214432/969088 windows running_bpb=1.289590
  sliding_eval [ 22.3%] 216032/969088 windows running_bpb=1.289900
  sliding_eval [ 22.5%] 217632/969088 windows running_bpb=1.290160
  sliding_eval [ 22.6%] 219232/969088 windows running_bpb=1.290271
  sliding_eval [ 22.8%] 220832/969088 windows running_bpb=1.290046
  sliding_eval [ 23.0%] 222432/969088 windows running_bpb=1.289658
  sliding_eval [ 23.1%] 224032/969088 windows running_bpb=1.289746
  sliding_eval [ 23.3%] 225632/969088 windows running_bpb=1.289279
  sliding_eval [ 23.4%] 227232/969088 windows running_bpb=1.288974
  sliding_eval [ 23.6%] 228832/969088 windows running_bpb=1.289455
  sliding_eval [ 23.8%] 230432/969088 windows running_bpb=1.289235
  sliding_eval [ 23.9%] 232032/969088 windows running_bpb=1.289047
  sliding_eval [ 24.1%] 233632/969088 windows running_bpb=1.288743
  sliding_eval [ 24.3%] 235232/969088 windows running_bpb=1.288791
  sliding_eval [ 24.4%] 236832/969088 windows running_bpb=1.288981
  sliding_eval [ 24.6%] 238432/969088 windows running_bpb=1.289008
  sliding_eval [ 24.8%] 240032/969088 windows running_bpb=1.288646
  sliding_eval [ 24.9%] 241632/969088 windows running_bpb=1.288333
  sliding_eval [ 25.1%] 243232/969088 windows running_bpb=1.288184
  sliding_eval [ 25.3%] 244832/969088 windows running_bpb=1.288071
  sliding_eval [ 25.4%] 246432/969088 windows running_bpb=1.288124
  sliding_eval [ 25.6%] 248032/969088 windows running_bpb=1.287688
  sliding_eval [ 25.8%] 249632/969088 windows running_bpb=1.288208
  sliding_eval [ 25.9%] 251232/969088 windows running_bpb=1.288143
  sliding_eval [ 26.1%] 252832/969088 windows running_bpb=1.288303
  sliding_eval [ 26.3%] 254432/969088 windows running_bpb=1.288119
  sliding_eval [ 26.4%] 256032/969088 windows running_bpb=1.287790
  sliding_eval [ 26.6%] 257632/969088 windows running_bpb=1.287674
  sliding_eval [ 26.8%] 259232/969088 windows running_bpb=1.287402
  sliding_eval [ 26.9%] 260832/969088 windows running_bpb=1.287154
  sliding_eval [ 27.1%] 262432/969088 windows running_bpb=1.287086
  sliding_eval [ 27.2%] 264032/969088 windows running_bpb=1.286915
  sliding_eval [ 27.4%] 265632/969088 windows running_bpb=1.286982
  sliding_eval [ 27.6%] 267232/969088 windows running_bpb=1.286695
  sliding_eval [ 27.7%] 268832/969088 windows running_bpb=1.286681
  sliding_eval [ 27.9%] 270432/969088 windows running_bpb=1.287064
  sliding_eval [ 28.1%] 272032/969088 windows running_bpb=1.287455
  sliding_eval [ 28.2%] 273632/969088 windows running_bpb=1.287229
  sliding_eval [ 28.4%] 275232/969088 windows running_bpb=1.287011
  sliding_eval [ 28.6%] 276832/969088 windows running_bpb=1.287294
  sliding_eval [ 28.7%] 278432/969088 windows running_bpb=1.287060
  sliding_eval [ 28.9%] 280032/969088 windows running_bpb=1.286990
  sliding_eval [ 29.1%] 281632/969088 windows running_bpb=1.286689
  sliding_eval [ 29.2%] 283232/969088 windows running_bpb=1.286750
  sliding_eval [ 29.4%] 284832/969088 windows running_bpb=1.286622
  sliding_eval [ 29.6%] 286432/969088 windows running_bpb=1.286498
  sliding_eval [ 29.7%] 288032/969088 windows running_bpb=1.286477
  sliding_eval [ 29.9%] 289632/969088 windows running_bpb=1.286273
  sliding_eval [ 30.1%] 291232/969088 windows running_bpb=1.285954
  sliding_eval [ 30.2%] 292832/969088 windows running_bpb=1.285960
  sliding_eval [ 30.4%] 294432/969088 windows running_bpb=1.285816
  sliding_eval [ 30.5%] 296032/969088 windows running_bpb=1.285901
  sliding_eval [ 30.7%] 297632/969088 windows running_bpb=1.285626
  sliding_eval [ 30.9%] 299232/969088 windows running_bpb=1.285705
  sliding_eval [ 31.0%] 300832/969088 windows running_bpb=1.285411
  sliding_eval [ 31.2%] 302432/969088 windows running_bpb=1.285012
  sliding_eval [ 31.4%] 304032/969088 windows running_bpb=1.285129
  sliding_eval [ 31.5%] 305632/969088 windows running_bpb=1.285131
  sliding_eval [ 31.7%] 307232/969088 windows running_bpb=1.285070
  sliding_eval [ 31.9%] 308832/969088 windows running_bpb=1.284833
  sliding_eval [ 32.0%] 310432/969088 windows running_bpb=1.284791
  sliding_eval [ 32.2%] 312032/969088 windows running_bpb=1.284691
  sliding_eval [ 32.4%] 313632/969088 windows running_bpb=1.284574
  sliding_eval [ 32.5%] 315232/969088 windows running_bpb=1.284579
  sliding_eval [ 32.7%] 316832/969088 windows running_bpb=1.284692
  sliding_eval [ 32.9%] 318432/969088 windows running_bpb=1.284358
  sliding_eval [ 33.0%] 320032/969088 windows running_bpb=1.284271
  sliding_eval [ 33.2%] 321632/969088 windows running_bpb=1.284222
  sliding_eval [ 33.4%] 323232/969088 windows running_bpb=1.283947
  sliding_eval [ 33.5%] 324832/969088 windows running_bpb=1.283628
  sliding_eval [ 33.7%] 326432/969088 windows running_bpb=1.283423
  sliding_eval [ 33.8%] 328032/969088 windows running_bpb=1.283508
  sliding_eval [ 34.0%] 329632/969088 windows running_bpb=1.283611
  sliding_eval [ 34.2%] 331232/969088 windows running_bpb=1.283271
  sliding_eval [ 34.3%] 332832/969088 windows running_bpb=1.282985
  sliding_eval [ 34.5%] 334432/969088 windows running_bpb=1.282855
  sliding_eval [ 34.7%] 336032/969088 windows running_bpb=1.282836
  sliding_eval [ 34.8%] 337632/969088 windows running_bpb=1.282705
  sliding_eval [ 35.0%] 339232/969088 windows running_bpb=1.282817
  sliding_eval [ 35.2%] 340832/969088 windows running_bpb=1.282583
  sliding_eval [ 35.3%] 342432/969088 windows running_bpb=1.282499
  sliding_eval [ 35.5%] 344032/969088 windows running_bpb=1.282110
  sliding_eval [ 35.7%] 345632/969088 windows running_bpb=1.281824
  sliding_eval [ 35.8%] 347232/969088 windows running_bpb=1.281706
  sliding_eval [ 36.0%] 348832/969088 windows running_bpb=1.281522
  sliding_eval [ 36.2%] 350432/969088 windows running_bpb=1.281343
  sliding_eval [ 36.3%] 352032/969088 windows running_bpb=1.281490
  sliding_eval [ 36.5%] 353632/969088 windows running_bpb=1.281704
  sliding_eval [ 36.7%] 355232/969088 windows running_bpb=1.281367
  sliding_eval [ 36.8%] 356832/969088 windows running_bpb=1.281266
  sliding_eval [ 37.0%] 358432/969088 windows running_bpb=1.280947
  sliding_eval [ 37.2%] 360032/969088 windows running_bpb=1.280598
  sliding_eval [ 37.3%] 361632/969088 windows running_bpb=1.280434
  sliding_eval [ 37.5%] 363232/969088 windows running_bpb=1.280742
  sliding_eval [ 37.6%] 364832/969088 windows running_bpb=1.280753
  sliding_eval [ 37.8%] 366432/969088 windows running_bpb=1.280578
  sliding_eval [ 38.0%] 368032/969088 windows running_bpb=1.280502
  sliding_eval [ 38.1%] 369632/969088 windows running_bpb=1.280506
  sliding_eval [ 38.3%] 371232/969088 windows running_bpb=1.280491
  sliding_eval [ 38.5%] 372832/969088 windows running_bpb=1.280554
  sliding_eval [ 38.6%] 374432/969088 windows running_bpb=1.280878
  sliding_eval [ 38.8%] 376032/969088 windows running_bpb=1.280792
  sliding_eval [ 39.0%] 377632/969088 windows running_bpb=1.280904
  sliding_eval [ 39.1%] 379232/969088 windows running_bpb=1.280831
  sliding_eval [ 39.3%] 380832/969088 windows running_bpb=1.280578
  sliding_eval [ 39.5%] 382432/969088 windows running_bpb=1.280584
  sliding_eval [ 39.6%] 384032/969088 windows running_bpb=1.280366
  sliding_eval [ 39.8%] 385632/969088 windows running_bpb=1.280504
  sliding_eval [ 40.0%] 387232/969088 windows running_bpb=1.280524
  sliding_eval [ 40.1%] 388832/969088 windows running_bpb=1.280615
  sliding_eval [ 40.3%] 390432/969088 windows running_bpb=1.280533
  sliding_eval [ 40.5%] 392032/969088 windows running_bpb=1.280522
  sliding_eval [ 40.6%] 393632/969088 windows running_bpb=1.280524
  sliding_eval [ 40.8%] 395232/969088 windows running_bpb=1.280342
  sliding_eval [ 40.9%] 396832/969088 windows running_bpb=1.280564
  sliding_eval [ 41.1%] 398432/969088 windows running_bpb=1.280623
  sliding_eval [ 41.3%] 400032/969088 windows running_bpb=1.280606
  sliding_eval [ 41.4%] 401632/969088 windows running_bpb=1.280564
  sliding_eval [ 41.6%] 403232/969088 windows running_bpb=1.280469
  sliding_eval [ 41.8%] 404832/969088 windows running_bpb=1.280530
  sliding_eval [ 41.9%] 406432/969088 windows running_bpb=1.280332
  sliding_eval [ 42.1%] 408032/969088 windows running_bpb=1.280409
  sliding_eval [ 42.3%] 409632/969088 windows running_bpb=1.280428
  sliding_eval [ 42.4%] 411232/969088 windows running_bpb=1.280306
  sliding_eval [ 42.6%] 412832/969088 windows running_bpb=1.280408
  sliding_eval [ 42.8%] 414432/969088 windows running_bpb=1.280454
  sliding_eval [ 42.9%] 416032/969088 windows running_bpb=1.280437
  sliding_eval [ 43.1%] 417632/969088 windows running_bpb=1.280292
  sliding_eval [ 43.3%] 419232/969088 windows running_bpb=1.280245
  sliding_eval [ 43.4%] 420832/969088 windows running_bpb=1.280462
  sliding_eval [ 43.6%] 422432/969088 windows running_bpb=1.280433
  sliding_eval [ 43.8%] 424032/969088 windows running_bpb=1.280236
  sliding_eval [ 43.9%] 425632/969088 windows running_bpb=1.280188
  sliding_eval [ 44.1%] 427232/969088 windows running_bpb=1.280030
  sliding_eval [ 44.3%] 428832/969088 windows running_bpb=1.280023
  sliding_eval [ 44.4%] 430432/969088 windows running_bpb=1.279988
  sliding_eval [ 44.6%] 432032/969088 windows running_bpb=1.280135
  sliding_eval [ 44.7%] 433632/969088 windows running_bpb=1.280147
  sliding_eval [ 44.9%] 435232/969088 windows running_bpb=1.280045
  sliding_eval [ 45.1%] 436832/969088 windows running_bpb=1.280233
  sliding_eval [ 45.2%] 438432/969088 windows running_bpb=1.280224
  sliding_eval [ 45.4%] 440032/969088 windows running_bpb=1.280196
  sliding_eval [ 45.6%] 441632/969088 windows running_bpb=1.280348
  sliding_eval [ 45.7%] 443232/969088 windows running_bpb=1.280322
  sliding_eval [ 45.9%] 444832/969088 windows running_bpb=1.280393
  sliding_eval [ 46.1%] 446432/969088 windows running_bpb=1.280530
  sliding_eval [ 46.2%] 448032/969088 windows running_bpb=1.280508
  sliding_eval [ 46.4%] 449632/969088 windows running_bpb=1.280528
  sliding_eval [ 46.6%] 451232/969088 windows running_bpb=1.280626
  sliding_eval [ 46.7%] 452832/969088 windows running_bpb=1.280699
  sliding_eval [ 46.9%] 454432/969088 windows running_bpb=1.280466
  sliding_eval [ 47.1%] 456032/969088 windows running_bpb=1.280263
  sliding_eval [ 47.2%] 457632/969088 windows running_bpb=1.280469
  sliding_eval [ 47.4%] 459232/969088 windows running_bpb=1.280390
  sliding_eval [ 47.6%] 460832/969088 windows running_bpb=1.280384
  sliding_eval [ 47.7%] 462432/969088 windows running_bpb=1.280240
  sliding_eval [ 47.9%] 464032/969088 windows running_bpb=1.280139
  sliding_eval [ 48.0%] 465632/969088 windows running_bpb=1.280209
  sliding_eval [ 48.2%] 467232/969088 windows running_bpb=1.280196
  sliding_eval [ 48.4%] 468832/969088 windows running_bpb=1.280265
  sliding_eval [ 48.5%] 470432/969088 windows running_bpb=1.280273
  sliding_eval [ 48.7%] 472032/969088 windows running_bpb=1.280394
  sliding_eval [ 48.9%] 473632/969088 windows running_bpb=1.280284
  sliding_eval [ 49.0%] 475232/969088 windows running_bpb=1.280291
  sliding_eval [ 49.2%] 476832/969088 windows running_bpb=1.280322
  sliding_eval [ 49.4%] 478432/969088 windows running_bpb=1.280248
  sliding_eval [ 49.5%] 480032/969088 windows running_bpb=1.280680
  sliding_eval [ 49.7%] 481632/969088 windows running_bpb=1.280609
  sliding_eval [ 49.9%] 483232/969088 windows running_bpb=1.280723
  sliding_eval [ 50.0%] 484832/969088 windows running_bpb=1.281039
  sliding_eval [ 50.2%] 486432/969088 windows running_bpb=1.281085
  sliding_eval [ 50.4%] 488032/969088 windows running_bpb=1.280969
  sliding_eval [ 50.5%] 489632/969088 windows running_bpb=1.281120
  sliding_eval [ 50.7%] 491232/969088 windows running_bpb=1.281046
  sliding_eval [ 50.9%] 492832/969088 windows running_bpb=1.281240
  sliding_eval [ 51.0%] 494432/969088 windows running_bpb=1.281390
  sliding_eval [ 51.2%] 496032/969088 windows running_bpb=1.281615
  sliding_eval [ 51.4%] 497632/969088 windows running_bpb=1.281654
  sliding_eval [ 51.5%] 499232/969088 windows running_bpb=1.281722
  sliding_eval [ 51.7%] 500832/969088 windows running_bpb=1.281743
  sliding_eval [ 51.8%] 502432/969088 windows running_bpb=1.281788
  sliding_eval [ 52.0%] 504032/969088 windows running_bpb=1.281863
  sliding_eval [ 52.2%] 505632/969088 windows running_bpb=1.281834
